domain,category,severity,threat_sources
179viplogin.com,PHISHING,3,brand-imitation
17betloginj.com,PHISHING,3,brand-imitation
17cyiqicaoofficial789wiki.wiki,PHISHING,3,brand-imitation
1800-usb-account.click,PHISHING,3,brand-imitation
1800accountinghelp.com,PHISHING,3,brand-imitation
1800accountinghelp.net,PHISHING,3,brand-imitation
1800accountinghelper.com,PHISHING,3,brand-imitation
1800accountinghelpers.com,PHISHING,3,brand-imitation
1800accountinghr.net,PHISHING,3,brand-imitation
1800bitcoin.net,PHISHING,3,brand-imitation
1801596-coinbase.com,PHISHING,3,brand-imitation
1804crypto.ooo,PHISHING,3,brand-imitation
1815798-coinbase.com,PHISHING,3,brand-imitation
1817586-coinbase.com,PHISHING,3,brand-imitation
1817596-coinbase.com,PHISHING,3,brand-imitation
1819041-coinbase.com,PHISHING,3,brand-imitation
181957-coinbase.com,PHISHING,3,brand-imitation
1819588-coinbase.com,PHISHING,3,brand-imitation
182519-coinbase.com,PHISHING,3,brand-imitation
182717-coinbase.com,PHISHING,3,brand-imitation
1827311-coinbase.com,PHISHING,3,brand-imitation
182732-coinbase.com,PHISHING,3,brand-imitation
1827930-coinbase.com,PHISHING,3,brand-imitation
182932crypto.com,PHISHING,3,brand-imitation
1836738-coinbase.com,PHISHING,3,brand-imitation
1839459-coinbase.com,PHISHING,3,brand-imitation
1843736-coinbase.com,PHISHING,3,brand-imitation
184471coinbase.com,PHISHING,3,brand-imitation
184593-coinbase.com,PHISHING,3,brand-imitation
1847579-coinbase.com,PHISHING,3,brand-imitation
1847963-coinbase.com,PHISHING,3,brand-imitation
184937coinbase.com,PHISHING,3,brand-imitation
1857293-coinbase.com,PHISHING,3,brand-imitation
1857581-coinbase.com,PHISHING,3,brand-imitation
1857638-coinbase.com,PHISHING,3,brand-imitation
1857687-coinbase.com,PHISHING,3,brand-imitation
1872834-coinbase.com,PHISHING,3,brand-imitation
1874372-coinbase.com,PHISHING,3,brand-imitation
187586a-coinbase.com,PHISHING,3,brand-imitation
1876943-coinbase.com,PHISHING,3,brand-imitation
188201-coinbase.com,PHISHING,3,brand-imitation
18820coinbase.com,PHISHING,3,brand-imitation
1888blogin.com,PHISHING,3,brand-imitation
188bethiphologin.com,PHISHING,3,brand-imitation
188betloginapp.com,PHISHING,3,brand-imitation
188betlogingame.com,PHISHING,3,brand-imitation
18925-coinbase.com,PHISHING,3,brand-imitation
189492-coinbase.com,PHISHING,3,brand-imitation
189583-crypto.com,PHISHING,3,brand-imitation
1896733-coinbase.com,PHISHING,3,brand-imitation
189747a-coinbase.com,PHISHING,3,brand-imitation
189betloginwin.com,PHISHING,3,brand-imitation
18betloginj.com,PHISHING,3,brand-imitation
18betloginwin.com,PHISHING,3,brand-imitation
18totologin.com,PHISHING,3,brand-imitation
18wheelerclaim.com,PHISHING,3,brand-imitation
18wheelerclaims.com,PHISHING,3,brand-imitation
18win3login.com,PHISHING,3,brand-imitation
190212coinbase.com,PHISHING,3,brand-imitation
1908573-coinbase.com,PHISHING,3,brand-imitation
191852-coinbase.com,PHISHING,3,brand-imitation
191852a-coinbase.com,PHISHING,3,brand-imitation
191857a-coinbase.com,PHISHING,3,brand-imitation
1921128-coinbase.com,PHISHING,3,brand-imitation
19216811login.site,PHISHING,3,brand-imitation
1923001-coinbase.com,PHISHING,3,brand-imitation
1925273-coinbase.com,PHISHING,3,brand-imitation
19274-coinbase.com,PHISHING,3,brand-imitation
192755a-coinbase.com,PHISHING,3,brand-imitation
192821coinbase.com,PHISHING,3,brand-imitation
19283-coinbase.com,PHISHING,3,brand-imitation
1928475-coinbase.com,PHISHING,3,brand-imitation
192851coinbase.com,PHISHING,3,brand-imitation
193283-coinbase.com,PHISHING,3,brand-imitation
193482-coinbase.com,PHISHING,3,brand-imitation
193691coinbase.com,PHISHING,3,brand-imitation
1937342-coinbase.com,PHISHING,3,brand-imitation
1938274-coinbase.com,PHISHING,3,brand-imitation
19384471-coinbase.com,PHISHING,3,brand-imitation
1938482-coinbase.com,PHISHING,3,brand-imitation
194023-coinbase.com,PHISHING,3,brand-imitation
19404183-coinbase.com,PHISHING,3,brand-imitation
194268-coinbase.com,PHISHING,3,brand-imitation
194270-coinbase.com,PHISHING,3,brand-imitation
1942862-coinbase.com,PHISHING,3,brand-imitation
194511-coinbase.com,PHISHING,3,brand-imitation
1945727-coinbase.com,PHISHING,3,brand-imitation
